DynoWare,Version 2.5.1.2
Path:,C:\Users\Administrator\Desktop\20180315\
Filename:,6-n6000f600ap3ae25.dwd
Config ID:,6-n6000f600ap3ae25.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:, 
Time:, 
Sampling rate [Hz]:,10000
Measuring time [s]:,50
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,500001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
5.0594,288.757,-156.647,109.497
5.0595,284.729,-143.372,101.99
5.0596,289.215,-107.391,103.271
5.0597,287.476,-59.6924,96.3135
5.0598,287.384,-16.571,95.3064
5.0599,288.757,18.9514,92.8345
5.06,280.609,37.4451,95.3979
5.0601,262.207,39.4592,99.7009
5.0602,246.552,34.9731,107.3
5.0603,233.368,34.6069,120.209
5.0604,229.34,39.917,125.61
5.0605,233.185,57.2205,118.652
5.0606,240.417,82.7637,100.8
5.0607,244.72,109.863,86.792
5.0608,240.051,132.202,80.4749
5.0609,232.819,145.477,84.2285
5.061,219.452,154.175,80.3833
5.0611,202.881,159.027,86.7004
5.0612,180.359,160.309,88.9893
5.0613,158.203,154.633,95.6726
5.0614,142.822,150.33,93.2922
5.0615,131.927,148.59,89.3555
5.0616,127.625,147.675,81.665
5.0617,136.688,147.766,79.6509
5.0618,139.984,137.146,37.8113
5.0619,123.871,99.2432,11.8103
5.062,93.4753,8.14819,23.3459
5.0621,34.8816,-91.0034,35.9802
5.0622,-40.4663,-150.879,40.2832
5.0623,-108.124,-170.38,31.8604
5.0624,-159.668,-158.02,41.3818
5.0625,-175.69,-125.977,45.8679
5.0626,-147.675,-92.3767,54.657
5.0627,-90.6372,-54.7485,65.3687
5.0628,-29.48,-28.7476,59.3262
5.0629,29.8462,-35.3394,56.8542
5.063,88.2568,-69.8547,56.3965
5.0631,135.132,-110.321,59.3262
5.0632,148.315,-138.977,62.439
5.0633,132.935,-161.133,70.0378
5.0634,107.574,-169.739,62.6221
5.0635,72.876,-164.52,46.6919
5.0636,50.6287,-137.054,36.438
5.0637,34.79,-99.4263,34.0576
5.0638,25.7263,-67.0166,31.2195
5.0639,33.0505,-51.2695,32.6843
5.064,64.0869,-62.5305,45.8679
5.0641,96.405,-84.5032,62.3474
5.0642,128.448,-106.476,74.1577
5.0643,159.576,-123.871,77.9114
5.0644,179.26,-131.012,69.0308
5.0645,188.507,-122.314,62.7136
5.0646,189.514,-87.616,55.0232
5.0647,171.753,-42.6636,47.7905
5.0648,144.196,-10.0708,49.6216
5.0649,116.272,10.0708,46.9666
5.065,91.5527,12.4512,46.5088
5.0651,78.0945,3.02124,45.6848
5.0652,77.2705,-8.88062,46.6003
